"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","estado_pil"
"4016",4016,3,2,7,0,1,13,1301,1,10,9,999,12,9,6,99,9999,5,99,9
"4017",4017,3,2,7,19,4,18,1804,2,99,9,999,12,9,3,99,9999,5,99,9
"4018",4018,3,2,7,16,3,17,1712,2,99,9,999,12,9,1,99,9999,5,99,9
"4019",4019,3,2,7,21,4,7,701,2,99,9,999,12,9,3,99,9999,5,99,9
"4020",4020,3,2,7,2,1,7,701,1,3,9,999,12,9,1,99,9999,5,99,9
"4021",4021,4,2,1,2,1,1,101,1,9,1,33,5,1,4,99,9999,5,99,9
"4022",4022,4,2,1,19,4,1,115,2,99,9,999,12,9,1,99,9999,5,99,9
"4023",4023,4,2,1,15,3,20,2001,2,99,9,999,12,9,18,99,9999,5,99,9
"4024",4024,4,2,1,22,4,19,1901,2,99,9,999,12,9,1,5,9999,5,99,9
"4025",4025,4,2,1,22,4,5,502,2,99,9,999,12,9,3,99,9999,5,99,9
"4026",4026,4,2,1,12,3,6,611,2,99,1,31,5,1,9,3,2008,5,99,9
"4027",4027,4,2,1,8,2,13,1301,2,99,1,18,2,1,1,99,9999,5,99,1
"4028",4028,4,2,1,8,2,13,1312,2,99,9,999,12,9,1,99,9999,5,99,9
"4029",4029,4,2,1,5,1,2,201,2,99,1,50,9,1,5,2,2011,5,23,1
"4030",4030,4,2,1,0,1,7,701,2,99,9,999,12,9,3,99,9999,5,99,9
"4031",4031,4,2,1,19,4,4,409,2,99,2,24,3,1,2,4,2003,5,37,1
"4032",4032,5,2,2,16,3,1,108,1,8,9,999,12,9,4,99,9999,5,99,9
"4033",4033,5,2,2,8,2,11,1103,1,8,1,999,12,1,13,99,9999,5,99,1
"4034",4034,5,2,2,0,1,16,1601,2,99,9,999,12,9,1,99,9999,5,99,9
"4035",4035,5,2,2,22,4,2,203,2,99,9,999,12,9,1,99,9999,5,99,9
"4036",4036,5,2,2,8,2,14,1401,2,99,9,999,12,9,1,99,9999,5,99,9
"4037",4037,5,2,2,0,1,4,401,2,99,9,999,12,9,5,3,9999,5,99,9
"4038",4038,6,2,3,21,4,1,101,1,1,2,38,6,1,10,2,2009,5,20,9
"4039",4039,6,2,3,10,2,6,602,2,99,1,32,5,1,13,1,9999,5,99,1
"4040",4040,6,2,3,23,4,16,1601,2,99,9,999,12,9,3,5,9999,5,44,9
"4041",4041,6,2,3,20,4,7,706,2,99,9,999,12,9,1,99,9999,5,99,9
"4042",4042,7,2,4,17,3,1,101,1,24,1,26,4,1,14,1,9999,5,2,9
"4043",4043,7,2,4,17,3,1,101,1,16,2,25,4,1,2,2,2013,5,32,1
"4044",4044,7,2,4,12,3,1,108,1,4,9,999,12,9,1,2,9999,5,99,9
"4045",4045,7,2,4,7,2,1,108,1,6,1,54,9,1,4,5,9999,5,21,1
"4046",4046,7,2,4,17,3,21,2106,2,99,1,54,9,1,1,4,9999,5,20,1
"4047",4047,7,2,4,14,3,19,1901,2,99,9,999,12,9,1,99,9999,5,99,9
"4048",4048,7,2,4,11,2,14,1403,2,99,9,999,12,9,3,99,9999,5,99,9
"4049",4049,8,2,5,18,4,1,101,1,1,1,45,8,1,12,1,9999,5,99,1
"4050",4050,8,2,5,17,3,1,101,1,5,9,999,12,9,1,11,9999,5,32,9
"4051",4051,8,2,5,6,2,6,609,2,99,9,999,12,9,99,99,9999,5,99,9
"4052",4052,8,2,5,16,3,13,1308,2,99,1,34,5,1,9,6,9999,5,44,2
"4053",4053,9,2,6,1,1,1,101,1,12,9,999,12,9,99,99,9999,5,99,9
"4054",4054,9,2,6,12,3,19,1903,2,99,9,999,12,9,99,99,9999,5,99,9
"4055",4055,9,2,6,20,4,13,1301,2,99,9,999,12,9,99,99,9999,5,99,9
"4056",4056,9,2,6,13,3,18,1804,2,99,1,37,6,1,4,4,9999,5,21,1
"4057",4057,9,2,6,19,4,14,1406,2,99,9,999,12,9,99,99,9999,5,99,9
"4058",4058,10,2,7,22,4,1,101,1,6,1,24,3,1,14,1,2012,5,2,9
"4059",4059,10,2,7,22,4,1,101,1,11,1,29,4,1,4,5,9999,5,42,9
