"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
"3104",3104,25,12,2,18,17,1711,2,99,2,20,3,1,1,1,5,1
"3105",3105,26,12,3,2,1,102,2,99,1,20,3,1,2,1,2,2
"3106",3106,26,12,3,10,1,101,1,13,2,24,3,1,1,4,1,2
"3107",3107,26,12,3,18,5,501,2,99,1,35,6,1,1,1,2,1
"3108",3108,26,12,3,21,5,502,2,99,1,34,5,1,1,4,5,1
"3109",3109,26,12,3,23,5,501,2,99,1,27,4,1,2,3,6,2
"3110",3110,26,12,3,20,5,511,2,99,9,999,11,9,9,99,99,1
"3111",3111,26,12,3,16,13,1301,2,99,1,30,5,1,1,1,2,1
"3112",3112,26,12,3,19,13,1320,2,99,1,28,4,1,1,4,1,2
"3113",3113,26,12,3,17,18,1803,2,99,1,29,4,1,2,3,99,2
"3114",3114,26,12,3,12,14,1406,2,99,1,36,6,1,1,7,99,4
"3115",3115,26,12,3,15,4,406,2,99,1,48,8,1,1,3,6,1
"3116",3116,27,12,4,20,1,101,1,1,1,48,8,1,1,1,1,1
"3117",3117,27,12,4,22,5,502,2,99,1,19,2,1,1,4,99,1
"3118",3118,27,12,4,5,13,1326,2,99,9,999,11,9,9,3,3,3
"3119",3119,27,12,4,5,16,1613,2,99,1,38,6,1,1,7,2,3
"3120",3120,28,12,5,6,1,101,1,2,1,21,3,1,1,1,5,2
"3121",3121,28,12,5,15,11,1101,2,99,1,20,3,1,1,4,5,1
"3122",3122,28,12,5,21,9,901,1,1,1,29,4,1,2,4,5,1
"3123",3123,28,12,5,19,9,917,2,99,1,51,9,1,1,9,3,1
"3124",3124,28,12,5,22,12,1222,2,99,1,46,8,1,1,3,2,3
"3125",3125,29,12,6,4,1,114,2,99,1,42,7,1,1,4,7,3
"3126",3126,29,12,6,0,1,108,1,7,1,26,4,1,1,1,6,1
"3127",3127,29,12,6,12,19,1904,2,99,1,25,4,1,1,4,2,2
"3128",3128,29,12,6,22,5,501,2,99,1,32,5,1,1,4,1,2
"3129",3129,29,12,6,11,10,1002,2,99,9,999,11,9,9,3,99,1
"3130",3130,29,12,6,2,11,1101,2,99,1,20,3,1,2,4,3,2
"3131",3131,29,12,6,20,13,1301,1,3,1,18,2,1,2,3,14,2
"3132",3132,29,12,6,5,16,1601,2,99,1,25,4,1,2,1,4,2
"3133",3133,29,12,6,6,16,1603,2,99,1,60,10,1,1,9,6,1
"3134",3134,29,12,6,11,16,1610,2,99,1,28,4,1,1,5,2,2
"3135",3135,29,12,6,14,4,401,2,99,1,55,10,1,1,6,6,1
"3136",3136,30,12,7,3,1,101,1,1,1,28,4,1,2,9,1,1
"3137",3137,30,12,7,6,1,101,1,6,1,999,11,1,2,3,4,2
"3138",3138,30,12,7,23,1,115,1,5,1,40,7,1,2,1,3,1
"3139",3139,30,12,7,20,20,2001,1,1,1,36,6,1,2,4,1,1
"3140",3140,30,12,7,7,10,1014,2,99,9,999,11,9,9,9,12,3
"3141",3141,30,12,7,15,13,1323,2,99,1,26,4,1,2,12,2,2
"3142",3142,31,12,1,21,1,107,2,99,2,37,6,1,1,4,5,2
"3143",3143,31,12,1,13,1,114,2,99,1,20,3,1,1,4,1,3
"3144",3144,31,12,1,22,22,2215,2,99,1,18,2,1,2,4,1,3
"3145",3145,31,12,1,14,20,2001,2,99,1,22,3,1,1,3,11,1
"3146",3146,31,12,1,7,9,902,2,99,9,999,11,9,9,1,1,1
"3147",3147,31,12,1,8,9,920,2,99,1,17,2,2,1,3,4,1
"3148",3148,31,12,1,13,18,1804,2,99,1,16,2,2,1,4,5,2
"3149",3149,24,3,6,16,7,705,2,99,1,39,6,1,9,3,3,4
"3150",3150,26,9,3,7,10,1001,2,99,1,38,6,1,1,7,99,4
