"","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_v","color_v","modelo_v","causa_ac"
"1681",22,1,5,7,11,2,99,1,62,9,3,99,9999,3
"1682",21,2,7,7,13,2,99,1,25,9,3,2,1984,4
"1683",16,12,4,8,1,1,7,9,999,9,12,1,9999,1
"1684",16,7,5,8,18,1,99,1,23,1,4,3,9999,1
"1685",15,5,6,10,17,2,99,9,999,9,3,99,9999,1
"1686",20,10,3,17,22,2,99,1,30,1,3,5,9999,1
"1687",21,6,1,18,22,2,99,1,63,2,3,3,1987,2
"1688",19,11,5,19,7,2,99,1,56,1,9,99,9999,1
"1689",15,8,7,20,16,1,10,1,26,9,3,1,9999,1
"1690",16,3,2,22,1,1,18,1,23,9,1,11,9999,2
"1691",16,12,4,4,1,2,99,1,24,2,1,3,9999,2
"1692",21,2,7,7,14,2,99,1,999,9,9,3,2007,1
"1693",16,3,2,7,1,1,5,1,30,9,4,5,9999,1
"1694",15,9,3,12,7,2,99,1,26,1,3,1,9999,1
"1695",15,8,7,13,4,2,99,9,999,9,3,3,9999,3
"1696",10,4,6,14,13,2,99,1,22,2,3,5,9999,1
"1697",20,10,3,15,5,2,99,1,48,1,1,5,9999,1
"1698",22,1,5,18,11,2,99,1,31,9,4,1,9999,1
"1699",21,6,1,20,20,2,99,1,16,1,4,1,2007,1
"1700",16,7,5,20,17,2,99,1,999,1,4,2,9999,1
"1701",16,5,7,21,1,1,17,1,27,1,1,1,9999,1
"1702",19,11,5,22,3,2,99,2,19,1,1,11,1999,2
"1703",16,3,2,6,1,1,5,1,42,9,1,10,9999,2
"1704",16,5,7,11,1,1,12,1,41,1,2,4,2009,1
"1705",17,7,6,11,1,1,1,1,20,1,4,1,9999,1
"1706",16,8,1,14,1,1,18,1,999,1,3,5,9999,1
"1707",22,2,1,14,5,2,99,1,24,1,3,2,1994,2
"1708",19,11,5,14,21,2,99,1,29,1,5,2,1983,2
"1709",10,4,6,17,18,2,99,9,999,9,3,4,9999,4
"1710",15,9,3,19,4,2,99,1,19,1,4,99,2007,2
"1711",21,6,1,21,10,2,99,1,46,2,3,5,2000,1
"1712",16,12,4,21,1,1,8,1,25,1,4,1,9999,1
"1713",22,1,5,22,2,2,99,1,33,9,3,2,9999,2
"1714",21,10,4,23,1,1,6,1,29,2,1,7,1978,2
"1715",21,10,4,7,5,2,99,1,31,1,3,2,2007,1
"1716",15,9,3,13,1,1,1,1,28,1,4,3,9999,1
"1717",16,8,1,15,1,1,7,9,999,9,1,11,9999,1
"1718",22,2,1,15,5,2,99,1,42,9,3,2,9999,2
"1719",19,11,5,15,18,2,99,1,33,1,5,2,9999,3
"1720",16,5,7,16,1,1,7,1,27,1,1,2,9999,1
"1721",16,12,4,16,20,2,99,1,36,1,1,3,9999,1
"1722",21,6,1,16,11,2,99,1,54,1,3,2,9999,3
"1723",16,3,2,17,1,2,99,1,37,9,6,2,9999,1
"1724",22,1,5,18,4,2,99,1,34,9,1,9,9999,1
"1725",17,7,6,18,1,1,9,1,47,1,3,99,9999,1
"1726",10,4,6,19,18,2,99,1,35,1,5,2,9999,2
