"","num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","Fallecidos_Lesionados","Otro_g_edad_fall_les"
"6832",6832,12,3,2,20,4,6,603,2,0,1,41,6,1,4,1,2,5,44,7,2,4
"6833",6833,12,3,2,14,3,9,920,2,0,2,76,8,1,7,7,3,5,22,10,2,7
"6834",6834,12,3,2,17,3,12,1202,2,0,1,54,7,1,3,3,2,5,44,9,1,5
"6835",6835,12,3,2,10,2,14,1403,2,0,1,5,3,2,7,6,6,5,99,1,2,2
"6836",6836,13,3,3,7,2,1,110,2,0,1,50,7,1,3,4,6,5,99,9,2,5
"6837",6837,13,3,3,23,4,1,108,1,4,1,28,5,1,99,99,6,5,99,4,1,3
"6838",6838,13,3,3,15,3,4,401,1,2,1,42,6,1,7,7,3,5,22,7,1,4
"6839",6839,13,3,3,13,3,3,301,2,0,1,27,5,1,7,3,3,5,22,4,1,3
"6840",6840,14,3,4,7,2,1,101,1,6,2,36,5,1,1,4,3,5,37,6,2,4
"6841",6841,14,3,4,13,3,1,101,1,5,1,87,8,1,99,99,6,5,99,10,2,7
"6842",6842,14,3,4,19,4,1,117,1,2,1,9,3,2,1,6,3,5,46,1,2,2
"6843",6843,14,3,4,19,4,16,1615,2,0,2,12,4,2,4,1,6,5,99,1,2,2
"6844",6844,14,3,4,23,4,17,1703,2,0,1,7,3,2,99,99,6,5,99,1,2,2
"6845",6845,14,3,4,20,4,7,701,2,0,1,35,5,1,99,99,6,5,99,6,1,4
"6846",6846,15,3,5,15,3,1,101,1,6,2,30,5,1,99,99,6,5,99,5,2,4
"6847",6847,15,3,5,17,3,1,101,1,13,1,30,5,1,99,99,6,5,99,5,2,4
"6848",6848,15,3,5,22,4,1,101,1,7,2,25,5,1,3,2,6,5,44,4,2,3
"6849",6849,15,3,5,22,4,1,110,1,1,1,21,4,1,4,99,6,5,99,3,2,3
"6850",6850,15,3,5,13,3,22,2212,2,0,1,42,6,1,9,6,6,5,21,7,2,4
